repo	safe_name	commit_sha	jsonl_rows	source_path	original_bytes	compressed_sha256	compressed_bytes	storage
MultiPaper/MultiPaper	MultiPaper__MultiPaper	7af143b66299c68a50a7dce3997214ac5cb39c9a	826	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/MultiPaper__MultiPaper/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	17259327	47a5a2d38c34201577eb0318904296b6a765c1448e23c45cd520ed88d16884e7	654761	method_contexts.jsonl.gz
spring-projects/spring-authorization-server	spring-projects__spring-authorization-server	b90fb09362aae9eb6ee64e536d0ad7d589af917f	1951	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/spring-projects__spring-authorization-server/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	53223202	cf5f1b5e53aec89b9d990b5cf946fc7aba897666411aac3ddc19bfaf0a6ff677	3634168	method_contexts.jsonl.gz
selenide/selenide	selenide__selenide	98e0b84ad71c10788ebaedb0dca3d9c8fa9cdde1	285	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/selenide__selenide/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	1495886	f9547d8304c5bf97006027f3574918905138746a76d95370a4c59979bd943f22	55081	method_contexts.jsonl.gz
json-path/JsonPath	json-path__JsonPath	62a4c9f0f65ba3f625aa0867d64c528ba72d09ec	1308	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/json-path__JsonPath/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	21292135	ae64e2f374d2e9f83166f7b5d5ad8c2c4fd98798205acee6652945e6dc98fccd	1336412	method_contexts.jsonl.gz
testcontainers/testcontainers-java	testcontainers__testcontainers-java	905a445ad8b701e4c531aa652e42179072a88d01	503	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/testcontainers__testcontainers-java/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	3049259	e118da1ddf94534c42ccd282ff18dd43c417e470a7203003d47b4abeb81184ba	141289	method_contexts.jsonl.gz
dreamhead/moco	dreamhead__moco	5ed23ff30d7128487c6ca6fdf595594e5436ef21	1925	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/dreamhead__moco/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	30101991	c7843d907c24721c010594f193f833d1b9419ce3a97e8a4e74eb117b2845f63d	1620343	method_contexts.jsonl.gz
FXMisc/RichTextFX	FXMisc__RichTextFX	99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d	1920	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/FXMisc__RichTextFX/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	39880771	c372aedef0dc5c8fcb79854af1886f18eeb9b0c38c9f587db2ff26669e7188c7	3045327	method_contexts.jsonl.gz
mockito/mockito	mockito__mockito	9791e19830f967ec6ed0aa9f5aad7a946cc25b97	2631	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/mockito__mockito/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	66504584	92a171fc325b5b43d2939287e3acbca975f5e1e7abfba8d279dd39be49d4b730	9441448	method_contexts.jsonl.gz
allure-framework/allure2	allure-framework__allure2	ea1be8bbaf19af811afa6c44fdfc5d14a2770ae0	328	/home/ale/agent-runs/cocomut-eval-success-fixes/repo/evaluation/outputs/allure-framework__allure2/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	2300313	e18ef158543b20f532d1824382ebd6775edff5f6a71b8ffc899f640c769a0796	115227	method_contexts.jsonl.gz
wiztools/rest-client	wiztools__rest-client	e4e25f05f3b9d7468f8dc08620d535ededbda178	1327	/tmp/cocomut-wiztools-outputs/wiztools__rest-client/cocomut_output/method_contexts__491d337cfd6ee809.jsonl	12614710	4d519573a759011869d8ae6e64f69c33b7d1a062decf26a406fdaaaac0fe474c	950622	method_contexts.jsonl.gz
