repo	build_system	commit_sha	size_bin	module_shape	clone_status	checkout_status	cocomut_exit_code	status	failure_codes	duration_ms	phase_1_build_system	phase_1_java_version	phase_1_compiles	phase_1_compile_status	phase_1_build_attempted	phase_1_build_succeeded	phase_1_build_timed_out	phase_1_bytecode_available	phase_1_bytecode_origin	phase_1_analysis_can_proceed	source_files_discovered	source_files_parsed	source_files_failed	phase_2_analysis_universe_methods	phase_2_methods_identified	phase_4_contexts_extracted	phase_5_jsonl_rows	jsonl_files	jsonl_parseable_rows	jsonl_malformed_rows	row_count_matches_contexts	source_parse_rate	phase_3_available	phase_3_call_graph_artifact_exists	phase_3_focal_methods_matched_to_bytecode	focal_bytecode_match_rate	phase_3_call_edges_generated	phase_5_call_edges_serialized	artifact_bundle
AsamK/signal-cli	gradle	debb8a20e6218b6b4e7a2760bf5e90547535b67a	small	multi-module	OK	OK	1	FAILED	"[""MODEL_RESOLUTION_PARTIAL"", ""BUILD_FAILED"", ""PROVENANCE_FAILED""]"	11061	gradle	25	False	BUILD FAILED; NO PROJECT BYTECODE	True	False	False	False	none	False								0	0	0									results/artifacts/AsamK__signal-cli
spring-projects/spring-authorization-server	gradle	b90fb09362aae9eb6ee64e536d0ad7d589af917f	small	multi-module	OK	OK	1	PARTIAL	"[""CALL_GRAPH_UNAVAILABLE""]"	49867	gradle	17	True	BUILD SUCCESS	True	True	False	True	generated_this_run	True	291	291	0	1949	1949	1949	1949	1	1949	0	true	1.000000	True	True	1897	0.973320	14053	14053	results/artifacts/spring-projects__spring-authorization-server
selenide/selenide	gradle	98e0b84ad71c10788ebaedb0dca3d9c8fa9cdde1	medium	multi-module	OK	OK	1	PARTIAL	"[""MODEL_RESOLUTION_PARTIAL"", ""SOURCE_PARSE_FAILED"", ""CALL_GRAPH_UNAVAILABLE""]"	63718	gradle	unknown	True	BUILD SUCCESS	True	True	False	True	generated_this_run	True	445	103	342	285	285	285	285	1	285	0	true	0.231461	True	True	261	0.915789	536	536	results/artifacts/selenide__selenide
GoogleContainerTools/jib	gradle	6a851b6fb83a7399009a8bee7dec6323822eeca4	medium	multi-module	OK	OK	1	FAILED	"[""MODEL_RESOLUTION_PARTIAL"", ""BUILD_FAILED"", ""PROVENANCE_FAILED""]"	44192	gradle	8	False	BUILD FAILED; NO PROJECT BYTECODE	True	False	False	False	none	False								0	0	0									results/artifacts/GoogleContainerTools__jib
testcontainers/testcontainers-java	gradle	905a445ad8b701e4c531aa652e42179072a88d01	medium	multi-module	OK	OK	1	PARTIAL	"[""MODEL_RESOLUTION_PARTIAL"", ""SOURCE_PARSE_FAILED"", ""CALL_GRAPH_UNAVAILABLE""]"	258395	gradle	17	True	BUILD SUCCESS	True	True	False	True	generated_this_run	True	358	120	238	503	503	503	503	1	503	0	true	0.335196	True	True	471	0.936382	1138	1138	results/artifacts/testcontainers__testcontainers-java
conductor-oss/conductor	gradle	7f9adbf8bbecfe30cfa679b6c19595641740f7c0	medium	multi-module	OK	OK	1	FAILED	"[""BUILD_FAILED"", ""PROVENANCE_FAILED""]"	289975	gradle	21	False	BUILD FAILED; PREEXISTING PROJECT BYTECODE AVAILABLE	True	False	False	True	preexisting	False								0	0	0									results/artifacts/conductor-oss__conductor
junit-team/junit-framework	gradle	5bc7cb12f5bc4492011bdcf278fde44ac45166d5	medium	multi-module	OK	OK	1	FAILED	"[""MODEL_RESOLUTION_PARTIAL"", ""BUILD_FAILED"", ""PROVENANCE_FAILED""]"	1195	gradle	unknown	False	BUILD FAILED; NO PROJECT BYTECODE	True	False	False	False	none	False								0	0	0									results/artifacts/junit-team__junit-framework
mockito/mockito	gradle	9791e19830f967ec6ed0aa9f5aad7a946cc25b97	medium	multi-module	OK	OK	1	PARTIAL	"[""SOURCE_PARSE_FAILED"", ""CALL_GRAPH_UNAVAILABLE""]"	221070	gradle	11	True	BUILD SUCCESS	True	True	False	True	generated_this_run	True	493	487	6	2631	2631	2631	2631	1	2631	0	true	0.987830	True	True	2237	0.850247	11957	11957	results/artifacts/mockito__mockito
discord-jda/JDA	gradle	51116ebe6453c64642204eb8b07112596bfca07b	medium	single-module	OK	OK	1	FAILED	"[""MODEL_RESOLUTION_PARTIAL"", ""BUILD_FAILED"", ""PROVENANCE_FAILED""]"	19736	gradle	unknown	False	BUILD FAILED; NO PROJECT BYTECODE	True	False	False	False	none	False								0	0	0									results/artifacts/discord-jda__JDA
ReactiveX/RxJava	gradle	c0acd8efa7f6d36b002ed2db2fbc9df3646fad15	large	single-module	OK	OK	1	FAILED	"[""PROVENANCE_FAILED""]"	31505	gradle	26	True	BUILD SUCCESS	True	True	False	True	generated_this_run	True								0	0	0									results/artifacts/ReactiveX__RxJava
